store_id,lng,lat,website,name,postal_zip,address,address2,hours,city,prov_state,country,phone,email,fax
18338775,106.643522,-6.305335,,STEVE MADDEN AEON MALL BSD CITY,15345,"Aeon BSD City 1st Floor, Unit 38, Jl.BSD Boulevard Raya Lt. 1-Floor, Sampora, Bumi Serpong Damai",,11:00am - 8:00pm,18338775,Jawa Barat,ID,,JAKED31@MAP.CO.ID,
21329784,106.807127,-6.601385,https://www.stevemadden.id/,STEVE MADDEN BOTANI SQUARE BOGOR,16127,"Botani Square Mall - Lantai Ground Floor Unit No. 44 Jl. Raya Pajajaran No. 40, Tugu Kujang, Kec. Bogor Tengah, Kota Bogor, Jawa Barat",,,21329784,Jawa Barat,ID,PIC: Mely 081314665814,bgred53@map.co.id,
20118715,104.007202,1.136015,https://www.stevemadden.id/,STEVE MADDEN GRAND BATAM,29444,Grand Batam Shoppping Center Ground Floor Unit #6A,"Jl. Pembangunan, Kelurahan Batu Selicin, Kecamatan Lubuk Baja Batam, Kepulauan Riau Batam",10:00AM - 10:00 PM,20118715,Kepulauan Riau,ID,07784888438,btmed17@map.co.id,
21347664,115.231713,-8.633789,https://www.stevemadden.id/,STEVE MADDEN LIVING WORLD DENPASAR,80235,"Living World Denpasar Lt. Ground Unit G-IC-10B Jl. Gatot Subroto Timur , Tonja Denpasar Utara, Bali",,,21347664,,ID,PIC: Affan 087778095258,blied57@map.co.id,
20118722,115.157143,-8.683338,https://www.stevemadden.id/,STEVE MADDEN SEMINYAK VILLAGE BALI,80361,"Steve madden seminyak village Bali, unit GF",,10:00AM - 10:00 PM,20118722,Bali,ID,0361-9597009,,
20991002,115.262806,-8.686546,https://www.stevemadden.id/,STEVE MADDEN SANUR ICON,80228,"Sanur Icon UG-06B, Jl.Danau Tamblingan No.27 Sanur, Denpasar Selatan, Denpasar, Bali",,10:00AM - 10:00 PM,20991002,Bali,ID,,,
20118724,115.184355,-8.723114,https://www.stevemadden.id/,STEVE MADDEN BALI GALERIA,80361,JL.By Pass Ngurah Rai gedung Sahid Sudirman Center Lt.26,,10:00AM - 10:00 PM,20118724,Bali,ID,0361-752733,blied40@map.co.id,
20118723,119.394269,-5.159222,https://www.stevemadden.id/,STEVE MADDEN TSM MAKASSAR,90134,Metro Tanjung Bunga Makassar Lantai G-120,,10:00AM - 10:00 PM,20118723,Sulawesi Selatan,ID,085700271520,mksed39@map.co.id,
18338764,106.842680,6.223329,,STEVE MADDEN KOTA KASABLANKA,12870,"Kota Kasablanka UG Floor, Jl. Casablanca No.88, Menteng Dalam, Tebet",,11:00am - 8:00pm,18338764,DKI Jakarta,ID,021-29465047,JAKED03@MAP.CO.ID,
21329786,124.831927,1.472484,https://www.stevemadden.id/,STEVE MADDEN MANADO TOWN SQUARE,95114,"Mall Manado Town Square ( Mantos 3 ) Unit GF.20, Jl. Piere Tendean   Boulevard Manado, Kota Manado, Sulawesi Utara",,,21329786,Sulawesi Utara,ID,PIC: Tesa 082393195709,mnded55@map.co.id,
20118713,98.674404,3.594635,https://www.stevemadden.id/,STEVE MADDEN DELI PARK MEDAN,20111,"Jl. Guru Patimpus Lt. 1 Unit 5, Deli Park Mall Medan",,10:00AM - 10:00 PM,20118713,Sumatera Utara,ID,061-62000754,mdned15@map.co.id,
